signal_id,variant,formula,session,expected_highest_hz,observed_dominant_hz,adaptive_fs_hz,adapted_window_n,i_avg_proxy_ma,savings_pct,notes
A,clean_a,"2*sin(2*pi*3*t)+4*sin(2*pi*5*t)",20260513_090512_clean_40hz_new-fixes_retry,5.00,5.02,40.00,200,78.167,0.05,"current policy; dominant and highest tone align"
B,clean_b,"4*sin(2*pi*3*t)+2*sin(2*pi*9*t)",20260424_104417_clean_b_dut,9.00,3.01,25.00,125,78.088,1.00,"current policy interpretation; stronger 3 Hz tone drives adaptation"
C,clean_c,"2*sin(2*pi*2*t)+3*sin(2*pi*5*t)+1.5*sin(2*pi*7*t)",20260424_104628_clean_c_dut,7.00,5.03,40.00,200,78.102,1.15,"current policy interpretation; dominant 5 Hz tone drives adaptation"
