iso_time,seq,fs_hz,sample_index,t_seconds,value
2026-04-22T11:43:01.203+02:00,1,100.000000,72,0.720000,-0.662454
2026-04-22T11:43:01.203+02:00,1,100.000000,73,0.730000,-1.376493
2026-04-22T11:43:01.203+02:00,1,100.000000,74,0.740000,-1.839638
2026-04-22T11:43:01.203+02:00,1,100.000000,75,0.750000,-2.000000
2026-04-22T11:43:01.203+02:00,1,100.000000,76,0.760000,-1.839665
2026-04-22T11:43:01.203+02:00,1,100.000000,77,0.770000,-1.376540
2026-04-22T11:43:01.203+02:00,1,100.000000,78,0.780000,-0.662524
2026-04-22T11:43:01.203+02:00,1,100.000000,79,0.790000,0.221825
2026-04-22T11:43:01.203+02:00,1,100.000000,80,0.800000,1.175527
2026-04-22T11:43:01.203+02:00,1,100.000000,81,0.810000,2.087588
2026-04-22T11:43:01.203+02:00,1,100.000000,82,0.820000,2.848492
2026-04-22T11:43:01.203+02:00,1,100.000000,83,0.830000,3.361629
2026-04-22T11:43:01.203+02:00,1,100.000000,84,0.840000,3.553559
2026-04-22T11:43:01.203+02:00,1,100.000000,85,0.850000,3.381983
2026-04-22T11:43:01.203+02:00,1,100.000000,86,0.860000,2.840757
2026-04-22T11:43:01.203+02:00,1,100.000000,87,0.870000,1.961277
2026-04-22T11:43:01.203+02:00,1,100.000000,88,0.880000,0.810184
2026-04-22T11:43:01.203+02:00,1,100.000000,89,0.890000,-0.516470
2026-04-22T11:43:01.203+02:00,1,100.000000,90,0.900000,-1.902038
2026-04-22T11:43:01.203+02:00,1,100.000000,91,0.910000,-3.220230
2026-04-22T11:43:01.203+02:00,1,100.000000,92,0.920000,-4.347135
2026-04-22T11:43:01.203+02:00,1,100.000000,93,0.930000,-5.173196
2026-04-22T11:43:01.203+02:00,1,100.000000,94,0.940000,-5.613867
2026-04-22T11:43:01.203+02:00,1,100.000000,95,0.950000,-5.618048
2026-04-22T11:43:01.203+02:00,1,100.000000,96,0.960000,-5.173362
2026-04-22T11:43:01.203+02:00,1,100.000000,97,0.970000,-4.307788
2026-04-22T11:43:01.203+02:00,1,100.000000,98,0.980000,-3.087476
2026-04-22T11:43:01.203+02:00,1,100.000000,99,0.990000,-1.610928
2026-04-22T11:43:01.203+02:00,1,100.000000,100,1.000000,-0.000113
2026-04-22T11:43:01.203+02:00,1,100.000000,101,1.010000,1.610734
2026-04-22T11:43:01.203+02:00,1,100.000000,102,1.020000,3.087313
2026-04-22T11:43:01.203+02:00,1,100.000000,103,1.030000,4.307653
2026-04-22T11:43:01.203+02:00,1,100.000000,104,1.040000,5.173278
2026-04-22T11:43:01.203+02:00,1,100.000000,105,1.050000,5.618019
2026-04-22T11:43:01.203+02:00,1,100.000000,106,1.060000,5.613895
2026-04-22T11:43:01.203+02:00,1,100.000000,107,1.070000,5.173277
2026-04-22T11:43:01.203+02:00,1,100.000000,108,1.080000,4.347260
2026-04-22T11:43:01.203+02:00,1,100.000000,109,1.090000,3.220378
2026-04-22T11:43:01.203+02:00,1,100.000000,110,1.100000,1.902202
2026-04-22T11:43:01.203+02:00,1,100.000000,111,1.110000,0.516634
2026-04-22T11:43:01.203+02:00,1,100.000000,112,1.120000,-0.810019
2026-04-22T11:43:01.203+02:00,1,100.000000,113,1.130000,-1.961143
2026-04-22T11:43:01.203+02:00,1,100.000000,114,1.140000,-2.840665
2026-04-22T11:43:01.203+02:00,1,100.000000,115,1.150000,-3.381939
2026-04-22T11:43:01.203+02:00,1,100.000000,116,1.160000,-3.553560
2026-04-22T11:43:01.203+02:00,1,100.000000,117,1.170000,-3.361676
2026-04-22T11:43:01.203+02:00,1,100.000000,118,1.180000,-2.848569
2026-04-22T11:43:01.203+02:00,1,100.000000,119,1.190000,-2.087689
