iso_time,rtt_ms
2026-04-22T11:54:07.447+02:00,716
2026-04-22T11:54:20.146+02:00,1786
2026-04-22T11:54:31.808+02:00,1810
2026-04-22T11:54:42.903+02:00,1273
2026-04-22T11:54:54.143+02:00,917
