4.940	144.10	702.00	1	36026.4
4.944	147.40	704.00	1	36167.2
4.940	142.30	708.00	1	36308.8
4.944	144.00	712.00	1	36451.2
4.944	138.40	684.00	1	36588.0
4.940	144.50	714.00	1	36730.8
4.940	142.00	702.00	1	36871.2
4.940	141.60	702.00	1	37011.6
4.944	144.00	702.00	1	37152.0
4.940	149.80	734.00	1	37298.8
4.852	239.70	1160.00	3	37530.8
4.944	141.50	708.00	1	37672.4
4.944	144.90	692.00	1	37810.8
4.940	142.90	708.00	1	37952.4
4.940	143.80	712.00	1	38094.8
4.940	145.40	718.00	1	38238.4
4.940	142.80	708.00	1	38380.0
4.948	143.70	704.00	1	38520.8
4.940	144.00	704.00	1	38661.6
4.940	144.40	704.00	1	38802.4
4.944	145.50	704.00	1	38943.2
4.944	142.40	704.00	1	39084.0
4.944	141.70	702.00	1	39224.4
4.940	143.80	712.00	1	39366.8
4.936	240.30	1190.00	3	39604.8
4.940	142.10	704.00	1	39745.6
4.944	142.70	702.00	1	39886.0
4.940	142.40	704.00	1	40026.8
4.944	142.10	702.00	1	40167.2
4.936	144.40	714.00	1	40310.0
4.940	142.00	702.00	1	40450.4
4.940	144.10	712.00	1	40592.8
4.948	144.50	714.00	1	40735.6
4.948	141.20	698.00	1	40875.2
4.944	142.60	702.00	1	41015.6
4.952	141.90	704.00	1	41156.4
4.948	148.90	740.00	1	41304.4
4.928	171.70	846.00	2	41473.6
4.948	142.60	708.00	1	41615.2
4.952	142.40	704.00	1	41756.0
4.952	144.70	718.00	1	41899.6
4.948	151.50	750.00	1	42049.6
4.948	144.40	702.00	1	42190.0
4.952	141.30	704.00	1	42330.8
4.952	141.80	698.00	1	42470.4
4.952	142.20	712.00	1	42612.8
4.952	143.30	712.00	1	42755.2
4.952	142.80	708.00	1	42896.8
4.948	142.50	708.00	1	43038.4
4.952	144.00	712.00	1	43180.8
4.932	145.20	718.00	1	43324.4
4.948	142.80	712.00	1	43466.8
4.924	168.10	830.00	1	43632.8
4.948	144.70	702.00	1	43773.2
4.952	141.60	702.00	1	43913.6
4.948	139.00	688.00	1	44051.2
4.952	141.40	702.00	1	44191.6
4.952	141.50	702.00	1	44332.0
4.952	142.50	708.00	1	44473.6
4.952	257.90	1238.00	3	44721.2
4.952	141.60	712.00	1	44863.6
4.948	145.10	688.00	1	45001.2
4.952	142.00	712.00	1	45143.6
4.952	143.50	712.00	1	45286.0
4.952	139.90	692.00	1	45424.4
4.952	144.90	718.00	1	45568.0
4.952	142.60	708.00	1	45709.6
4.940	145.20	718.00	1	45853.2
4.872	239.40	1166.00	3	46086.4
4.868	240.10	1170.00	3	46320.4
4.948	153.10	760.00	1	46472.4
4.956	143.30	708.00	1	46614.0
4.952	143.50	702.00	1	46754.4
4.952	143.10	708.00	1	46896.0
4.948	143.10	708.00	1	47037.6
4.948	141.90	704.00	1	47178.4
4.952	144.70	718.00	1	47322.0
4.952	138.70	688.00	1	47459.6
4.952	146.00	724.00	1	47604.4
4.948	141.10	698.00	1	47744.0
4.952	140.70	702.00	1	47884.4
4.952	141.80	708.00	1	48026.0
4.948	144.70	684.00	1	48162.8
4.952	142.60	708.00	1	48304.4
4.952	140.50	694.00	1	48443.2
4.948	141.80	702.00	1	48583.6
4.956	142.60	708.00	1	48725.2
4.948	144.10	714.00	1	48868.0
4.952	141.20	702.00	1	49008.4
4.956	142.20	704.00	1	49149.2
4.948	143.20	720.00	1	49293.2
4.952	142.50	692.00	1	49431.6
4.952	142.40	702.00	1	49572.0
4.956	143.80	712.00	1	49714.4
4.916	152.10	754.00	1	49865.2
4.948	152.80	756.00	1	50016.4
4.956	144.10	714.00	1	50159.2
4.952	142.60	708.00	1	50300.8
4.948	143.90	714.00	1	50443.6
4.952	142.40	720.00	1	50587.6
4.948	143.50	712.00	1	50730.0
4.952	141.80	702.00	1	50870.4
4.952	142.00	704.00	1	51011.2
4.952	142.40	704.00	1	51152.0
4.952	141.80	704.00	1	51292.8
4.952	142.20	704.00	1	51433.6
4.952	141.60	702.00	1	51574.0
4.952	143.60	712.00	1	51716.4
4.952	141.80	694.00	1	51855.2
4.952	142.40	702.00	1	51995.6
4.952	141.50	702.00	1	52136.0
4.952	143.40	712.00	1	52278.4
4.952	142.60	708.00	1	52420.0
4.952	144.40	714.00	1	52562.8
4.952	144.40	714.00	1	52705.6
4.952	144.30	714.00	1	52848.4
4.952	142.00	704.00	1	52989.2
4.952	144.30	704.00	1	53130.0
4.952	143.00	702.00	1	53270.4
4.952	143.50	704.00	1	53411.2
4.948	141.60	712.00	1	53553.6
4.952	142.60	708.00	1	53695.2
4.952	144.90	718.00	1	53838.8
4.952	143.90	714.00	1	53981.6
4.952	144.90	718.00	1	54125.2
4.944	142.90	708.00	1	54266.8
4.860	243.00	1182.00	3	54503.2
4.872	238.80	1164.00	3	54736.0
4.948	145.00	718.00	1	54879.6
4.952	140.60	702.00	1	55020.0
4.948	143.60	702.00	1	55160.4
4.952	138.90	692.00	1	55298.8
4.952	142.00	712.00	1	55441.2
4.952	142.60	708.00	1	55582.8
4.952	142.30	704.00	1	55723.6
4.952	142.50	708.00	1	55865.2
4.952	143.20	712.00	1	56007.6
4.952	145.00	718.00	1	56151.2
4.948	141.40	702.00	1	56291.6
4.948	143.20	702.00	1	56432.0
4.952	137.80	694.00	1	56570.8
4.952	141.70	702.00	1	56711.2
4.952	142.00	704.00	1	56852.0
4.952	143.40	712.00	1	56994.4
4.952	143.50	712.00	1	57136.8
4.948	151.70	750.00	1	57286.8
4.952	145.60	720.00	1	57430.8
4.952	142.50	708.00	1	57572.4
4.952	142.30	720.00	1	57716.4
4.952	144.50	702.00	1	57856.8
4.948	141.10	702.00	1	57997.2
4.952	144.20	702.00	1	58137.6
4.952	143.40	712.00	1	58280.0
4.948	148.60	738.00	1	58427.6
4.948	143.60	712.00	1	58570.0
4.952	139.30	692.00	1	58708.4
4.952	143.80	712.00	1	58850.8
4.948	142.50	708.00	1	58992.4
4.948	143.30	708.00	1	59134.0
4.952	143.00	712.00	1	59276.4
4.952	143.40	720.00	1	59420.4
4.952	142.20	712.00	1	59562.8
4.956	138.20	684.00	1	59699.6
4.956	143.00	708.00	1	59841.2
4.952	142.70	708.00	1	59982.8
4.952	140.90	698.00	1	60122.4
4.952	142.00	704.00	1	60263.2
4.952	143.50	712.00	1	60405.6
4.952	143.60	712.00	1	60548.0
4.952	144.10	704.00	1	60688.8
4.952	143.50	698.00	1	60828.4
4.952	143.30	708.00	1	60970.0
4.952	142.00	704.00	1	61110.8
4.952	145.70	720.00	1	61254.8
4.948	142.80	708.00	1	61396.4
4.952	142.60	708.00	1	61538.0
4.952	141.90	702.00	1	61678.4
4.952	145.80	720.00	1	61822.4
4.952	141.80	704.00	1	61963.2
4.952	142.90	704.00	1	62104.0
4.952	165.20	830.00	1	62270.0
4.932	142.60	708.00	1	62411.6
4.928	144.10	714.00	1	62554.4
4.928	160.70	796.00	1	62713.6
4.868	241.00	1174.00	3	62948.4
4.864	243.10	1182.00	3	63184.8
4.924	145.40	720.00	1	63328.8
4.936	145.50	720.00	1	63472.8
4.932	142.50	708.00	1	63614.4
4.940	141.70	702.00	1	63754.8
4.944	144.30	702.00	1	63895.2
4.948	142.20	694.00	1	64034.0
4.952	141.80	708.00	1	64175.6
4.940	139.00	688.00	1	64313.2
4.932	142.40	704.00	1	64454.0
4.928	147.30	730.00	1	64600.0
4.924	143.00	708.00	1	64741.6
4.932	145.50	720.00	1	64885.6
4.936	142.10	704.00	1	65026.4
4.940	142.30	704.00	1	65167.2
4.948	141.40	704.00	1	65308.0
4.952	143.00	702.00	1	65448.4
4.948	143.20	708.00	1	65590.0
4.936	142.90	704.00	1	65730.8
4.932	141.70	702.00	1	65871.2
4.928	142.00	704.00	1	66012.0
4.928	141.70	702.00	1	66152.4
4.932	143.60	712.00	1	66294.8
4.940	144.60	718.00	1	66438.4
4.944	141.70	702.00	1	66578.8
4.948	139.90	692.00	1	66717.2
4.944	148.50	728.00	1	66862.8
4.952	144.40	718.00	1	67006.4
4.936	141.90	702.00	1	67146.8
4.940	141.80	702.00	1	67287.2
4.928	143.80	712.00	1	67429.6
4.924	148.50	734.00	1	67576.4
4.932	142.50	708.00	1	67718.0
4.936	142.30	704.00	1	67858.8
4.940	142.50	708.00	1	68000.4
4.948	150.70	712.00	1	68142.8
4.948	141.10	704.00	1	68283.6
4.952	142.60	702.00	1	68424.0
4.952	142.10	704.00	1	68564.8
4.940	145.10	718.00	1	68708.4
4.928	142.30	704.00	1	68849.2
4.924	139.80	694.00	1	68988.0
4.936	143.00	708.00	1	69129.6
4.940	143.30	712.00	1	69272.0
4.944	143.30	712.00	1	69414.4
4.948	145.10	708.00	1	69556.0
4.948	146.80	1192.00	1	69794.4
4.952	167.20	708.00	1	69936.0
4.952	162.30	714.00	1	70078.8
4.952	144.50	718.00	1	70222.4
4.952	143.80	712.00	1	70364.8
4.952	143.80	712.00	1	70507.2
4.952	146.40	724.00	1	70652.0
4.948	150.00	744.00	1	70800.8
4.948	165.80	822.00	1	70965.2
4.952	162.40	708.00	1	71106.8
4.952	168.70	708.00	1	71248.4
4.868	244.70	1170.00	3	71482.4
4.868	246.10	1202.00	3	71722.8
4.952	168.90	712.00	1	71865.2
4.952	163.10	704.00	1	72006.0
4.952	158.70	702.00	1	72146.4
4.952	144.70	718.00	1	72290.0
4.952	145.30	720.00	1	72434.0
4.952	143.80	712.00	1	72576.4
4.948	149.20	738.00	1	72724.0
4.952	163.80	812.00	1	72886.4
4.952	167.10	830.00	1	73052.4
4.952	169.00	698.00	1	73192.0
4.948	169.30	704.00	1	73332.8
4.948	167.20	724.00	1	73477.6
4.952	160.20	712.00	1	73620.0
4.952	142.70	708.00	1	73761.6
4.952	144.10	714.00	1	73904.4
4.948	142.70	708.00	1	74046.0
4.944	148.80	738.00	1	74193.6
4.952	153.10	756.00	1	74344.8
4.952	156.70	776.00	1	74500.0
4.948	169.40	708.00	1	74641.6
4.952	167.80	712.00	1	74784.0
4.952	166.00	718.00	1	74927.6
4.952	256.70	744.00	3	75076.4
4.952	144.80	718.00	1	75220.0
4.952	143.90	712.00	1	75362.4
4.944	152.40	754.00	1	75513.2
4.948	166.50	826.00	1	75678.4
4.952	154.00	764.00	1	75831.2
4.948	158.40	784.00	1	75988.0
4.952	161.00	796.00	1	76147.2
4.948	175.60	744.00	2	76296.0
4.952	172.20	712.00	2	76438.4
4.956	161.50	712.00	1	76580.8
4.952	157.90	712.00	1	76723.2
4.952	139.80	692.00	1	76861.6
4.948	147.20	730.00	1	77007.6
4.952	152.00	754.00	1	77158.4
4.956	153.80	760.00	1	77310.4
4.952	158.40	784.00	1	77467.2
4.948	161.80	802.00	1	77627.6
4.952	164.00	704.00	1	77768.4
4.948	173.50	712.00	2	77910.8
4.952	167.70	708.00	1	78052.4
4.952	161.40	718.00	1	78196.0
4.956	143.00	708.00	1	78337.6
4.956	144.40	714.00	1	78480.4
4.952	147.40	730.00	1	78626.4
4.952	156.70	776.00	1	78781.6
4.948	163.80	810.00	1	78943.6
4.952	166.60	826.00	1	79108.8
4.952	168.50	836.00	1	79276.0
4.952	169.00	692.00	1	79414.4
4.948	166.70	714.00	1	79557.2
4.952	162.60	702.00	1	79697.6
4.960	159.00	714.00	1	79840.4
4.956	141.10	698.00	1	79980.0
